ted_distance,meta_distance
31.0,0.5416201
27.0,0.553497
21.0,0.5793352
33.0,0.44079852
21.0,0.60652626
21.0,0.51490587
22.0,0.6050618
24.0,0.55245924
25.0,0.59425366
16.0,0.44651937
9.0,0.471399
23.0,0.62776494
21.0,0.604455
40.0,0.2736218
34.0,0.80056334
51.0,0.7439709
14.0,0.50877327
20.0,0.4193275
16.0,0.42390424
20.0,0.53293836
20.0,0.3942964
20.0,0.5539934
21.0,0.4982167
16.0,0.47050738
29.0,0.5911878
32.0,0.53921646
19.0,0.61200756
21.0,0.501265
55.0,0.5740189
47.0,0.6953448
38.0,0.71782535
16.0,0.5732614
25.0,0.5792079
16.0,0.67634887
16.0,0.55501825
16.0,0.66074324
18.0,0.41316313
17.0,0.64255285
26.0,0.48721266
29.0,0.43960714
17.0,0.49404782
17.0,0.6675295
52.0,0.68750775
44.0,0.66282654
42.0,0.7446603
24.0,0.5792322
2.0,0.5232988
2.0,0.39067566
3.0,0.51955736
17.0,0.49283266
11.0,0.47538066
26.0,0.63765377
29.0,0.5929688
4.0,0.5724677
5.0,0.5400861
45.0,0.6444981
39.0,0.75957084
34.0,0.8093536
24.0,0.59126496
24.0,0.5441211
25.0,0.5996242
25.0,0.6042441
25.0,0.59401625
26.0,0.567085
29.0,0.51577365
24.0,0.6911844
25.0,0.5905946
53.0,0.5171399
50.0,0.79478264
42.0,0.7974649
2.0,0.45614797
3.0,0.5234854
17.0,0.5906839
11.0,0.38076556
26.0,0.63550997
29.0,0.59423983
4.0,0.6197291
5.0,0.48928
45.0,0.7081681
39.0,0.6937089
34.0,0.7510762
3.0,0.56592274
17.0,0.49080044
11.0,0.3780831
26.0,0.6397842
29.0,0.574848
4.0,0.5008725
5.0,0.54644215
45.0,0.6228367
39.0,0.7604236
34.0,0.7975666
16.0,0.61984485
12.0,0.5248271
25.0,0.7266127
28.0,0.6124345
3.0,0.5876802
4.0,0.53319496
46.0,0.72115296
39.0,0.7388868
34.0,0.76303226
23.0,0.5169495
22.0,0.5119437
18.0,0.45319033
17.0,0.46454084
18.0,0.5577196
44.0,0.5390807
36.0,0.71416986
44.0,0.7465811
30.0,0.63933617
33.0,0.577018
12.0,0.5803623
12.0,0.4719721
47.0,0.64291704
40.0,0.7152642
35.0,0.6600013
9.0,0.21311474
25.0,0.6236627
23.0,0.6026988
53.0,0.598992
45.0,0.6391661
52.0,0.7738905
29.0,0.54764175
27.0,0.51556605
46.0,0.6146796
38.0,0.5930314
55.0,0.7069547
4.0,0.6201452
47.0,0.7048628
39.0,0.7745396
33.0,0.82852274
44.0,0.6920688
36.0,0.63971305
34.0,0.5054714
13.0,0.80594194
40.0,0.76794505
46.0,0.4677059
