GIS_experience_group,n_answered,n_correct,accuracy,accuracy_pct
Skilled,11,9,0.8181818181818182,81.8
Skilled,11,8,0.7272727272727273,72.7
Skilled,11,10,0.9090909090909091,90.9
Skilled,11,2,0.18181818181818182,18.2
Skilled,11,9,0.8181818181818182,81.8
Beginner,11,6,0.5454545454545454,54.5
Beginner,11,9,0.8181818181818182,81.8
Beginner,11,9,0.8181818181818182,81.8
Beginner,11,6,0.5454545454545454,54.5
Beginner,11,9,0.8181818181818182,81.8
Beginner,11,5,0.45454545454545453,45.5
Skilled,11,11,1.0,100.0
Skilled,8,7,0.875,87.5
Skilled,8,6,0.75,75.0
Skilled,8,5,0.625,62.5
Beginner,11,8,0.7272727272727273,72.7
Beginner,11,10,0.9090909090909091,90.9
Beginner,11,8,0.7272727272727273,72.7
Beginner,11,7,0.6363636363636364,63.6
Beginner,11,9,0.8181818181818182,81.8
Beginner,11,7,0.6363636363636364,63.6
Beginner,8,5,0.625,62.5
Beginner,11,8,0.7272727272727273,72.7
