question,Beginner_incorrect,Beginner_n,Beginner_correct,Beginner_p_value,Beginner_cell,Skilled_incorrect,Skilled_n,Skilled_correct,Skilled_p_value,Skilled_cell,Total_n,Total_correct,Total_p_value,Total_cell,fisher_p
Q1_NO2,3,14,11,0.0006909933976155811,11 (<.001),1,9,8,0.000965300005080526,8 (<.001),23,19,1.6666847450343308e-06,19 (<.001),1.0
Q2_Housing,5,14,9,0.0174337320605674,9 (.017),5,9,4,0.349692628156277,4 (.350),23,13,0.018636715361228157,13 (.019),0.4172836182527932
Q3_Earthquake,0,14,14,2.090751581287688e-07,14 (<.001),0,9,9,5.0805263425290837e-05,9 (<.001),23,23,1.0622118484416435e-11,23 (<.001),1.0
Q4_Metro,8,14,6,0.310192476681325,6 (.310),5,9,4,0.349692628156277,4 (.350),23,10,0.20642892850168376,10 (.206),1.0
Q5_Noise,3,14,11,0.0006909933976155811,11 (<.001),2,9,7,0.00828125793832241,7 (.008),23,18,1.3104242021262457e-05,18 (<.001),1.0
Q6_Trees,5,14,9,0.0174337320605674,9 (.017),0,9,9,5.0805263425290837e-05,9 (<.001),23,18,1.3104242021262457e-05,18 (<.001),0.11566465571042228
Q7_Postcode,12,14,2,0.9725961008737459,2 (.973),4,9,5,0.14484580602550423,5 (.145),23,7,0.6899696356585185,7 (.690),0.0657129920826246
Q8_Population,4,14,10,0.004039541130205944,10 (.004),2,9,7,0.00828125793832241,7 (.008),23,17,8.172958567863123e-05,17 (<.001),1.0
Q9_Projection,1,13,12,1.693508780843028e-05,12 (<.001),1,6,5,0.017832647462277085,5 (.018),19,17,6.220631248028801e-07,17 (<.001),1.0
Q10_Prediction,2,13,11,0.00021262943581695795,11 (<.001),1,6,5,0.017832647462277085,5 (.018),19,16,7.291818786589777e-06,16 (<.001),1.0
Q11_Retrojection,2,13,11,0.00021262943581695795,11 (<.001),2,6,4,0.10013717421124826,4 (.100),19,15,6.064986408088496e-05,15 (<.001),0.5572755417956656
